Gene.symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
18S ribosomal RNA,1.879244819,-0.157651912,5.230524274,1.44E-06,1.01E-05,4.593094243
28S ribosomal RNA,0.028915924,0.027058462,0.496884669,0.620700671,0.694770784,-7.043921623
A1BG,0.163844534,0.122324386,0.911330897,0.36499453,0.452193547,-6.752073154
A1BG-AS1,0.121306573,0.151787493,0.665184903,0.50794021,0.591001121,-6.945873168
A1CF,-0.155309098,0.125447649,-1.154855274,0.251757748,0.332401005,-6.502240318
A2M,-0.469513289,-0.020911214,-3.395682619,0.001089991,0.003145951,-1.762874038
A2M-AS1,0.476886423,0.102561656,2.24700085,0.027533947,0.051307697,-4.706472029
A2ML1,-0.438597835,0.080568911,-2.500031087,0.014567301,0.029599488,-4.143542357
A2MP1,-0.86667426,0.225740569,-3.629085323,0.000512369,0.00162571,-1.052950573
A4GALT,-0.206804096,0.049829552,-1.119398032,0.266485826,0.348738606,-6.542169235
A4GNT,-0.26298565,0.040484676,-2.312423363,0.023455487,0.044746256,-4.565897747
AA06,-0.635974256,0.019116458,-3.47660037,0.000841896,0.002518887,-1.520609319
AAAS,0.056478281,0.037221197,0.36339063,0.717319111,0.777690669,-7.101612823
AACS,0.28923003,0.054374367,1.186339335,0.239173398,0.318453597,-6.465778591
AACSP1,-0.338923655,0.110678293,-1.494600363,0.139147802,0.201617326,-6.059343022
AADAC,2.874355393,0.372314385,7.851495819,2.08E-11,6.24E-10,15.53270086
AADACL2,4.098870261,0.32689233,21.75169092,2.00E-34,6.36E-31,67.71759079
AADACP1,-0.69969051,0.184589186,-2.967253816,0.0040126,0.009705675,-2.973316243
AADAT,-0.493443739,0.052962896,-2.783915816,0.006769648,0.015271915,-3.452009556
AAED1,0.946679745,0.076467295,3.916800884,0.000194081,0.000705492,-0.132821867
AAGAB,-0.019980298,0.225149452,-0.103875017,0.917541393,0.937842102,-7.162624513
AAK1,0.144391718,0.041928614,0.461666188,0.645635743,0.716402269,-7.06087141
AAMDC,-0.023239757,0.035340269,-0.239961158,0.811004591,0.854658684,-7.13907053
AAMP,-0.164374804,-0.045770836,-0.739397625,0.461936892,0.546530014,-6.8937183
