Gene.Name,GSM997591,GSM997592,GSM997593,GSM997594,GSM997595,GSM997596,GSM997597,GSM997598,GSM997599,GSM997600,GSM997601,GSM997602,GSM997603,GSM997604,GSM997605,GSM997606,GSM997607,GSM997608,GSM997609,GSM997610,GSM997611,GSM997612,GSM997613,GSM997614,GSM997615,GSM997616,GSM997617,GSM997618,GSM997619,GSM997620,GSM997621,GSM997622,GSM997623,GSM997624,GSM997625,GSM997626,GSM997627,GSM997628,GSM997629,GSM997630,GSM997631,GSM997632,GSM997633,GSM997634,GSM997635,GSM997636,GSM997637,GSM997638,GSM997639,GSM997640,GSM997641,GSM997642,GSM997643,GSM997644,GSM997645,GSM997646,GSM997647,GSM997648,GSM997649,GSM997650,GSM997651,GSM997652,GSM997653,GSM997654,GSM997655,GSM997656,GSM997657,GSM997658,GSM997659,GSM997660,GSM997661,GSM997662,GSM997663,GSM997664,GSM997665,GSM997666,GSM997667
A2M,0.20442343,1.0176415,0.6839185,-0.17854548,0.26020336,0.47796059999999996,0.64840984,0.14173222,0.5675024999999999,-0.51684546,-0.38335443,-0.30104709999999996,-0.23981857,0.46392488,0.20341492,-0.5451579000000001,-0.54677343,-0.46825552,-0.7172389,-0.42160034,-0.72049856,-0.10643196,-0.5870738,-0.20828938,0.13061619,-0.35078073,-0.75718427,0.08975172,-0.5408926,-0.33143067,0.0344882,-0.19694089999999997,-0.29484653,-0.19523144,-0.30398536,-0.47655702,-0.16517020000000002,-0.6577947,-0.6459408,-0.15718937,-0.6388866999999999,-0.4941771,-0.32505822,-0.17348647,0.09918356,0.049788475,0.28838348,0.19785404,0.23460484,-0.018870354,0.48270559999999996,0.29056787,0.058212757000000004,1.0084214,0.163136,0.04016018,0.17370081,0.03948164,0.49372673,0.2283268,0.38568878,-0.09310818,0.1997981,0.30241108,0.18950176,-0.066223145,0.52312136,-0.005077839000000001,0.7190919,-0.26963997,-0.28479552,0.0,0.20002842,0.19377422,-0.10515785,0.13468313,0.25885248
A2ML1,-0.19731736,0.27658963,0.68064785,0.08726907,-0.07963419,-0.020656109,0.5734338999999999,-0.027513503999999998,0.04589653,-0.12315655,0.9862263000000001,0.18235588,-0.20869493,-0.25201964,0.23284029999999997,-0.08661389,-0.13261795,-0.006613730999999999,-0.0961256,0.17726898,0.8085555999999999,-0.39259099999999997,-0.17871761,-0.19359064,-0.34558082,0.5523256999999999,-0.2302053,-0.26136279999999995,-0.044384718,-0.09812403,-0.053134203,-0.13687420000000003,-0.26155758,-0.10302186,-0.16186357,0.31223965,-0.48114634,0.14130354,-0.32171202,-0.27643967,-0.19799589999999997,-0.18081427,0.012390851999999999,-0.32278609999999996,-0.35963607,0.06571102,0.049113035,-0.016470432,-0.061794758,2.4303277000000003,0.08692312,-0.1520567,0.0032279490000000004,-0.056110382,0.11217642,0.14655662,0.27414608,-0.30508159999999995,1.1506851,0.05598378,0.19598484,-0.10638022400000001,0.29014707,-0.1935842,0.62043285,0.11979008,0.10233998,0.59755325,0.0,0.20161700000000002,0.026228905,0.16177750000000002,0.21768904,0.05084181,0.29795240000000006,0.35797763,0.24325967
ACAN,0.46247435,1.0875721,1.3235145000000001,0.78922653,0.5089855,-0.01527977,0.5298972,0.38742113,-0.20931196,1.1955643,1.7525724999999999,0.38185167,0.28469992,0.3396554,1.8698763999999999,0.79019976,0.97166014,0.15437317,0.16804028,0.80400515,-0.19444466,0.5969876999999999,0.7472706,0.32533836,0.25103188,-0.50580883,-0.34203672,0.2659273,-0.21015453,0.16345453,1.0114417,0.40709829999999997,0.55386543,0.4191532,0.0,-0.13984728,0.12292862,0.32342148,0.3314376,-0.268847,-0.5985832,-0.49077463,-0.7348956999999999,-0.8588686,-0.14289904,-0.24274778,0.072936535,-0.30201292,0.113492966,-0.25023365,-0.051437378,-0.22105598,-0.02579546,0.11572504,-0.25960684,-0.18401432,-0.03413725,-0.258646,0.27092075,-0.011115073999999999,-0.04388523,-0.017760754,-0.12521600000000002,-0.16274023,0.15835476,-0.27233076,-0.3449669,-0.18041182,0.2568879,-0.4031248,-0.16898584,-0.358881,-0.17944765,-0.03628683,-0.09271622,-0.12526894,0.28333187
ADAM11,1.5252976,2.0451703,1.5440793,1.6472168000000003,1.2553906000000001,0.8738551,1.9502363,1.4214516000000001,-0.16432476,0.3813243,0.9256911,0.69945335,0.43046474,0.23295498,2.1963133999999997,0.21986294,-0.053616047,0.48975515,-0.057415962,-0.0031118390000000004,-0.30148697,0.48267603,0.25366354,0.21277618,0.92667675,-0.079144955,0.18019342,0.8644109000000001,0.39723444,0.05361414,1.1590046999999999,0.5558076,0.05361414,0.024727345,0.32355595,-0.15069437,0.8654356,0.41262817,0.3140416,0.15612364,-0.25387335,0.14100933,-0.15627049999999998,-0.003619194,0.22517395,0.16304922,-0.36124325,-0.35455559999999997,0.86271477,-0.21343756,-0.41716623,-0.1857953,-0.5002284,-0.102334976,0.0,-0.28911924,-0.1097455,-0.22808361,-0.2537217,-0.18873453,-0.21842575,-0.07464266,-0.23517656,-0.29496193,-0.33622408,-0.1484437,-0.14462566,-0.33680390000000004,-0.09425449,-0.052807808,-0.14750624,-0.26509762,-0.13470411,-0.003036022,0.113770485,-0.16460466,-0.4073553
ADAM12,-0.30067587,-0.17522812,-0.43236113,0.7163748999999999,0.47058344,0.78921986,0.12589216,0.44508696,1.1066504,3.4417062000000005,1.1886382,3.5411735,1.1926322,2.9268302999999998,0.44411182,3.3546032999999995,0.55127144,4.3408475,1.365582,2.9667529999999998,1.6188865,3.0412282999999998,3.2595115000000003,4.2441354,-0.22124052,1.4068273999999998,-0.47840643,-0.59930706,-0.07977867,0.45426083,2.7520113,-0.64830446,3.543015,3.6634830999999997,5.151722400000001,1.718689,0.5802274000000001,0.46199036,6.357956400000001,-0.7198992,-0.956404,-0.84841394,-0.39668274,0.5198231,-0.5085721,-0.38550806,-0.056579113,0.0,-0.42439985,-0.17883062,-0.22555685,-0.7993717,-0.35742283,-0.40322733,-0.115395546,-0.09411096599999999,0.9293151,-0.42682886,-0.19005442,-0.26940775,-0.11299133,0.7296314,-0.28971624,-0.6421733000000001,-0.2267623,-0.40478516,-0.56586266,1.3850551000000002,-0.08166169999999999,-0.08490133,-0.1555996,0.09150267,0.98108196,-0.27328396,-0.091909885,-0.015027523000000001,0.9675708000000001
ADAM15,0.2066145,0.10071802,-0.14050722,-0.020955086,-0.43491888,-0.009732246,0.07945442,0.37356090000000003,0.36575603,0.6120305,1.1721597,0.044532300000000004,0.051905632,0.12403107,0.70324373,0.8797879000000001,0.24691391,0.22787952,0.046836376,0.9519924999999999,0.029446602000000002,0.49085236,0.50704765,0.41122103,0.9189209999999999,-0.1473527,-0.52316666,-0.021719456,-0.34607887,0.31803036,-0.065814495,0.17776394,-0.24153805,-0.21051455,-0.13760042,-0.024562836,-0.102044106,0.12233257,-0.08587694,-0.010790348,-0.51884556,-0.5425625,-0.36124754,-0.19678545,-0.36379004,-0.20775509,-0.11342335,0.16280842,0.08149004,-0.14436388,-0.08810520000000001,0.30679274,0.18211603,0.029446602000000002,0.029446602000000002,-0.23688269,0.10794783,0.08125496,-0.08841133,0.39604664,-0.11997461,-0.030399799999999998,0.029446602000000002,-0.23772907,0.13172436,0.011160851000000001,-0.059334278,-0.0019483570000000002,-0.12346935,-0.0926404,0.13467455,-0.3421769,0.0,0.045025826,-0.19126606,-0.069999695,-0.24454689
ADAM17,-0.018409729,-0.76528215,-0.29805136,-0.2292862,0.061959743,0.1360259,-0.7798829,-0.31818247,-0.7099409000000001,0.4890771,-0.77340174,1.5631614,0.3476038,0.8526168,-0.96409893,0.6426468000000001,0.39082003,0.2070775,0.53977346,0.37169409999999997,-0.19632387,0.5203624,0.8903518,0.14483547,0.39129066,-0.43615007,0.0,0.7726126,0.35664177,0.047099113,0.47583103,-0.075817585,1.069552,0.9635267,0.6663618,-0.27451134,0.715827,1.041307,0.36206007,0.23272467,0.6192064,0.34585570000000004,0.17912197,0.30030107,0.13784075,-0.11019754400000001,-0.37940693,0.08977127,-1.0096469000000001,0.4694481,-0.5411134,0.003035545,-0.05538559,0.28586388,-0.73980045,-0.2903142,0.11328268,-0.018409729,-1.6114507,-0.052371502,-0.28014898,-0.20485401,-0.24051905,-0.90637636,-0.45891809999999994,0.36950445,-0.57673407,-0.2926607,-0.37440348,0.13359737,-0.2516942,-0.692152,-0.6365299,-0.073497295,-0.7445444999999999,-0.7559314,-1.0423465
ADAM19,-0.5967159000000001,-0.624197,-0.018261433,-1.0337062,-0.80384445,-0.86077595,0.14948559,-0.3580041,0.20095444,1.112001,-0.42038965,1.0329361,-0.08999395,0.9659610000000001,-0.6060485999999999,0.87492657,1.1243448,0.085469246,0.33258247,1.2911701,0.47350264,-0.8418369000000001,0.99485826,1.1690998,-0.7162075,0.21607065,0.055921555,1.8681560000000001,-0.7922621,-0.051325798,1.7111983,-0.34219742,0.8223934000000002,1.4123707,1.7386331999999998,0.90554905,-0.17518806,-0.24130869,3.2111560000000003,-0.031080722999999998,-0.30281162,-0.9434118,-0.7952595,-0.7713045999999999,-0.61176395,0.3627944,-0.23651314,-0.15269470000000002,0.061552048,0.13165570000000001,0.12567616,0.062636375,0.0,-0.30512285,0.039387702999999996,0.34816074,0.48111296,-0.16693401,-0.20379353,-0.36634445,0.31470679999999995,-0.26953745,-0.3937812,-0.5967665,-0.21375465,-0.41562653,-0.3213873,0.57787323,0.013559341,-0.2791853,0.86932755,0.2574439,0.3922515,-0.6866741,0.6930113,-0.19481802,0.5453768
ADAM2,0.31457782,-0.008496523,0.6863686999999999,0.43412375,-0.052068233,0.28950143,0.31358767,0.21107864,0.24716592,0.30639124,0.72308373,-0.27179169999999997,-0.04298377,-0.12386346,0.060298443,-0.25170398,-0.20666575,0.6326460999999999,0.012679577,0.098347664,0.18364,0.49820042,0.119398355,0.07647848,0.5152899999999999,-0.07063627,0.15659285,0.21648908,0.2868564,-0.17013907,0.284096,0.048439502999999995,0.0,-0.12762069999999998,-0.044173717,0.06465864,0.10711741400000001,-0.001113176,0.25995278,-0.06092167,-0.08202410000000002,-0.017668246999999998,-0.10771775,0.019714355,-0.11560011,0.11730789999999999,-0.043609142000000004,-0.027225971,0.34160256,-0.118314505,-0.10319996,-0.11748505,-0.1104393,-0.042978287000000004,-0.003505468,0.18680573,-0.13994312,0.08226132400000001,-0.18377972,-0.02260065,0.17783308,-0.03158188,-0.0891726,-0.064721346,0.009579182,0.12142706,-0.08105421,-0.04647684,-0.0988245,-0.09434461599999999,-0.19421887,0.11366463,0.037896395,-0.13567233,0.005821943,0.07143307,-0.061487913
ADAM20,-0.050038815,0.19136667,0.25340223,-0.42865562,-0.06307793,-0.065410614,0.31282568,0.2879882,0.8173313,-0.81510115,0.2116251,-0.36555052,-0.8240366,-0.64514136,-0.028388977000000003,0.40839672,-0.34717798,-0.36723852,-0.07184553,0.08845997,-0.19578314,0.23182058,-0.14120531,-0.10826206,0.11398219999999999,-0.42467904,-0.10157728,-0.28380775,0.14225197,-0.6872988,0.19667721,-0.12995577,-0.027578354,-0.30477524,-0.5078018,-0.25335073,-0.1468134,-0.5258789,-0.27401876,-0.35475302,-0.7191243,-0.30548525,-0.31809282,-0.35293055,-0.34896517,0.20155716,0.06975365,0.0334692,0.3831215,0.16658258,0.19153738,0.3594365,0.31917763,0.09186697,-0.20261955,-0.096105576,0.19838333,0.109140396,0.05924511,0.27077866,0.28038979999999997,0.095746994,0.0384264,0.21268415,0.39492226,0.0,0.054152966,0.024600506,0.27813720000000003,-0.00779295,-0.01107502,-0.05902624,0.14798737,0.27350378,0.13580847,0.06298208,0.26933956
